,pixel_index,roi_index,roi_name,fit_model,T2m,T2fl,T2fs,T1f,T1m,Af,Am,cl,cs,B1,echo,rss,rchi,AIC,BIC,dx,Am100,Af100,cl100,cs100,slice,nrows,ncols,groupName,subject,session,imagedRegion,imagedRegionType,roi
39,8337,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,111.77855490479382,0.0,365.0,1400.0,1.0,0.0,0.4415876518103574,0.0,1.3766706463851954,10.0,0.014598778657519556,0.0010427699041085398,-114.02052277410209,-111.52088274193343,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
40,8338,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.05607201009992,0.0,365.0,1400.0,1.0,0.0,0.44078185017151905,0.0,1.371616958031907,10.0,0.014589265707209401,0.0010420904076578143,-114.03160403456464,-111.531964002396,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
41,8339,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,111.66927894516054,0.0,365.0,1400.0,1.0,0.0,0.4392841552579877,0.0,1.359952894748142,10.0,0.014944196045770094,0.0010674425746978638,-113.62297559003865,-111.12333555787,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
42,8340,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,111.58426100997121,0.0,365.0,1400.0,1.0,0.0,0.4377330771203535,0.0,1.352828905002645,10.0,0.015578163356839099,0.0011127259540599356,-112.91667406165232,-110.41703402948366,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
43,8341,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.10825695143478,0.0,365.0,1400.0,1.0,0.0,0.4374489495969285,0.0,1.3591388719987545,10.0,0.015532269013096737,0.001109447786649767,-112.96683115367297,-110.46719112150433,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
44,8342,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.35527100696952,0.0,365.0,1400.0,1.0,0.0,0.43851255726980953,0.0,1.3709930820623155,10.0,0.015179694118096273,0.0010842638655783052,-113.35717002714779,-110.85752999497913,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
45,8343,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,112.04658059112738,0.0,365.0,1400.0,1.0,0.0,0.4401387679838148,0.0,1.375614970464814,10.0,0.01466502914603914,0.0010475020818599386,-113.94354986363713,-111.44390983146849,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
46,8577,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,118.00448028539911,0.0,365.0,1400.0,1.0,0.0,0.4911511513211779,0.0,0.9279628572093284,10.0,0.00794093193981643,0.0005672094242726021,-124.37194569219974,-121.87230566003109,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
47,8578,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,117.63677757209001,0.0,365.0,1400.0,1.0,0.0,0.4896701585373999,0.0,0.9279119927156295,10.0,0.009156446964711976,0.0006540319260508554,-121.95067689431605,-119.45103686214739,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
48,8579,4,EH_slice-2_HC-001_sess-1_upperleg_fat_T2_4.roi,fatEPG1,0.0,118.21988768237578,0.0,365.0,1400.0,1.0,0.0,0.4872551091825269,0.0,0.9280232030269209,10.0,0.01047749498325786,0.0007483924988041328,-119.65956301755024,-117.1599229853816,0.45,0.0,100.0,100.0,0.0,2,256,256,healthyVolunteers,HC-001,sess-1,upperleg,fat,4
